date version nhelpfiles nobjects ndatasets Rlines srclines
"2019-05-22" "1.9-0" 6 3 3 227 3962
"2019-07-29" "1.10-0" 6 3 3 227 3962
"2019-07-29" "1.10-1" 6 3 3 227 3962
"2019-07-29" "1.10-2" 6 3 3 227 3962
"2019-08-08" "1.11-0" 4 3 1 227 3962
"2019-08-08" "1.11-1" 4 3 1 227 3962
"2019-08-09" "1.11-2" 4 3 1 227 3962
"2019-12-13" "1.12-0" 4 3 1 232 3962
"2019-12-15" "1.12-1" 4 3 1 232 4007
"2020-04-27" "1.12-2" 4 3 1 232 4007
"2021-01-03" "1.13-0" 4 3 1 232 4007
"2021-01-10" "1.13-0" 4 3 1 232 4007
"2021-01-10" "1.13-0" 4 3 1 232 4007
"2021-02-15" "1.65-0" 4 3 1 232 4007
"2021-03-31" "2.0-0" 4 3 1 232 4007
"2022-01-12" "2.0-1" 4 3 1 232 4007
"2022-05-24" "2.0-2" 4 3 1 232 4007
"2022-10-30" "3.0" 4 3 1 232 4007
"2022-10-30" "3.0-0" 4 3 1 232 4007
