date version nhelpfiles nobjects ndatasets Rlines srclines
"2020-12-13" "1.65-0" 510 1200 0 71511 14701
"2020-12-14" "1.65-0" 510 1200 0 71511 14701
"2021-01-07" "1.65-0" 510 1200 0 71609 14702
"2021-03-23" "2.0-0" 516 1206 0 72205 14748
"2021-06-16" "2.2-0" 520 1216 0 72952 14748
"2021-10-28" "2.3-1" 530 1266 0 74240 14230
"2021-11-25" "2.3-2" 531 1271 0 74653 14236
"2022-02-12" "2.4-0" 463 1134 0 66214 6891
"2022-03-29" "2.4-1" 467 1159 0 66653 6891
"2022-04-01" "2.4-2" 467 1159 0 66653 6891
"2022-04-27" "2.4-3" 467 1160 0 66717 6891
"2022-05-21" "2.4-4" 467 1168 0 67357 6891
"2022-05-25" "2.4-99" 0 0 0 0 0
