date version nhelpfiles nobjects ndatasets Rlines srclines
"2020-03-03" "1.0-0" 4 10 0 865 0
"2020-03-03" "1.0-1" 4 10 0 865 0
"2020-03-13" "1.0-2" 4 10 0 868 0
"2021-01-04" "1.1-0" 4 10 0 868 0
"2021-01-10" "1.1-1" 4 10 0 868 0
"2021-02-15" "1.65-0" 4 10 0 868 0
"2021-02-15" "1.2-0" 4 10 0 868 0
"2021-03-31" "2.0-0" 4 10 0 868 0
"2022-01-12" "2.0-1" 4 10 0 868 0
"2022-01-12" "2.0-2" 4 10 0 868 0
"2022-01-12" "2.0-2" 4 10 0 868 0
"2022-10-30" "3.0-0" 4 10 0 868 0
"2022-10-30" "3.0-0" 4 10 0 868 0
"2022-11-12" "3.0-1" 4 10 0 868 0
"2024-07-11" "3.0-2" 4 10 0 868 0
"2024-07-16" "3.1-0" 4 10 0 868 0
