date version nhelpfiles nobjects ndatasets Rlines srclines
"2017-03-30" "3.5-6" 21 85 0 4677 0
"2018-01-30" "3.5-7" 21 85 0 4677 0
"2019-04-13" "3.6-0" 21 84 0 4663 0
"2021-01-10" "4.0-0" 21 84 0 4663 0
"2021-03-31" "4.1-0" 21 84 0 4663 0
"2021-04-20" "4.1-1" 21 84 0 4663 0
"2022-01-12" "4.1-2" 21 84 0 4663 0
"2022-02-17" "4.1-3" 21 84 0 4663 0
"2022-02-23" "4.1-4" 21 84 0 4663 0
"2022-04-01" "4.1-5" 21 84 0 4678 0
"2022-04-05" "4.1-5" 21 84 0 4678 0
"2022-04-05" "4.1-6" 21 84 0 4678 0
"2022-04-05" "4.1-6" 21 84 0 4678 0
"2022-04-05" "4.1-6" 21 84 0 4678 0
"2022-06-13" "4.1-7" 21 84 0 4678 0
"2022-10-30" "5.0-0" 21 84 0 4678 0
"2022-10-30" "5.0-0" 21 84 0 4678 0
"2022-11-12" "5.0-1" 21 84 0 4678 0
"2024-07-11" "5.1-0" 21 84 0 4678 0
