date version nhelpfiles nobjects ndatasets Rlines srclines
"2001-08-08" "1.0-1" 109 196 0 706 1370
"2002-05-17" "1.1-3" 116 220 0 1140 1370
"2002-08-06" "1.2-1" 129 237 0 1786 1474
"2003-03-12" "1.3-1" 134 242 0 1955 1474
"2003-05-05" "1.3-2" 148 257 0 2024 1474
"2003-07-28" "1.3-3" 148 266 0 2034 1474
"2003-11-12" "1.3-4" 148 261 0 2033 1474
"2004-01-27" "1.4-3" 166 296 0 3641 1437
"2004-02-11" "1.4-4" 166 296 0 3641 1437
"2004-03-25" "1.4-5" 166 296 0 3646 1439
"2004-05-23" "1.4-6" 166 296 0 3689 1514
"2004-06-17" "1.5-1" 166 300 0 4255 1514
"2004-09-01" "1.5-3" 171 311 0 4636 1514
"2004-09-24" "1.5-4" 174 315 0 4642 1514
"2004-10-21" "1.5-5" 180 319 0 4686 1514
"2004-11-15" "1.5-6" 180 319 0 4686 1512
"2004-11-27" "1.5-7" 180 319 0 4687 1512
"2005-01-25" "1.5-8" 182 320 0 4770 1512
"2005-01-27" "1.5-9" 182 321 0 4805 1512
"2005-02-16" "1.5-10" 182 321 0 4805 1512
"2005-03-14" "1.6-1" 188 345 0 5597 1517
"2005-03-30" "1.6-2" 188 345 0 5600 1450
"2005-04-08" "1.6-3" 189 352 0 5715 1474
"2005-04-14" "1.6-4" 194 358 0 6056 1544
"2005-04-21" "1.6-5" 194 358 0 6056 1544
"2005-05-09" "1.6-6" 195 373 0 6385 1592
"2005-05-25" "1.6-7" 201 392 0 7727 1644
"2005-06-07" "1.6-8" 206 400 0 8003 1644
"2005-07-01" "1.6-9" 207 402 0 8025 1644
"2005-07-26" "1.7-11" 212 406 0 8213 1643
"2005-08-10" "1.7-12" 213 407 0 8279 1643
"2005-10-27" "1.7-13" 215 410 0 8531 1643
"2005-11-24" "1.8-1" 215 418 0 8539 1643
"2005-12-05" "1.8-2" 229 440 0 9031 1643
"2005-12-21" "1.8-3" 237 446 0 9175 1643
"2006-01-09" "1.8-4" 237 446 0 9207 1643
"2006-01-18" "1.8-5" 237 446 0 9225 1643
"2006-02-23" "1.8-6" 241 449 0 9315 1643
"2006-03-02" "1.8-7" 247 457 0 9627 1643
"2006-03-30" "1.8-8" 248 459 0 9662 1643
"2006-04-18" "1.8-9" 259 446 21 10144 1832
"2006-05-03" "1.9-0" 259 447 21 10396 1817
"2006-05-26" "1.9-1" 266 466 21 10861 3069
"2006-06-05" "1.9-2" 268 473 21 11409 3487
"2006-06-20" "1.9-3" 268 479 21 11941 4140
"2006-08-03" "1.9-4" 273 490 22 12435 5619
"2006-08-22" "1.9-5" 274 490 22 12493 5560
"2006-09-27" "1.9-6" 277 494 22 12573 5601
"2006-10-19" "1.10-1" 283 529 22 13124 5601
"2006-10-19" "1.10-1" 283 529 22 13124 5171
"2006-11-06" "1.10-2" 283 529 22 13194 5601
"2006-11-20" "1.10-3" 287 540 22 13425 5684
"2007-01-08" "1.10-4" 291 554 22 13591 5684
"2007-01-08" "1.10-4" 291 554 22 13591 5684
"2007-01-12" "1.11-0" 291 562 22 13728 5684
"2007-02-01" "1.11-1" 294 564 23 13614 5684
"2007-03-10" "1.11-2" 301 574 24 13860 5684
"2007-03-16" "1.11-3" 305 580 24 14106 5819
"2007-03-19" "1.11-4" 307 589 24 14316 5868
"2007-05-08" "1.11-5" 307 591 24 14373 5940
"2007-05-18" "1.11-6" 308 592 24 14390 5940
"2007-06-09" "1.11-7" 311 595 24 14506 5940
"2007-07-26" "1.11-8" 312 596 24 14552 6055
"2007-08-20" "1.12-0" 319 619 25 15246 6055
"2007-09-22" "1.12-1" 319 619 25 15250 6055
"2007-10-26" "1.12-2" 322 623 25 15684 6188
"2007-11-02" "1.12-3" 322 626 25 15767 6188
"2007-12-18" "1.12-4" 322 626 25 15814 6188
"2008-01-07" "1.12-5" 322 630 25 15891 6238
"2008-02-04" "1.12-6" 328 638 25 16334 6446
"2008-02-26" "1.12-8" 328 639 25 16405 6718
"2008-03-18" "1.12-9" 331 644 25 16606 6718
"2008-04-02" "1.12-10" 331 644 25 16649 6771
"2008-04-11" "1.13-0" 332 645 25 16753 6771
"2008-04-23" "1.13-1" 333 647 25 16812 6840
"2008-05-14" "1.13-2" 339 654 25 17057 6840
"2008-06-24" "1.13-3" 340 657 25 17182 6840
"2008-07-18" "1.13-4" 348 672 26 17527 6840
"2008-07-22" "1.14-0" 354 681 26 17923 7131
"2008-07-22" "1.14-1" 356 684 26 18052 7131
"2008-09-08" "1.14-2" 360 688 27 18087 7185
"2008-09-26" "1.14-3" 362 693 27 18194 7185
"2008-10-16" "1.14-4" 366 707 27 18427 7185
"2008-10-23" "1.14-5" 368 715 27 18493 7185
"2008-11-07" "1.14-6" 372 726 27 18657 7185
"2008-11-17" "1.14-7" 374 730 27 18671 7185
"2008-12-10" "1.14-8" 377 734 27 18766 7185
"2008-12-16" "1.14-9" 377 734 27 18772 7185
"2009-01-30" "1.14-10" 381 741 27 18949 7186
"2009-03-02" "1.15-0" 384 750 27 19212 7362
"2009-03-31" "1.15-1" 386 752 28 19292 7439
"2009-04-14" "1.15-2" 396 772 28 19880 7436
"2009-05-13" "1.15-3" 398 777 29 20141 7524
"2009-06-11" "1.15-4" 399 776 29 20176 7524
"2009-07-01" "1.16-0" 405 787 29 20774 7524
"2009-07-27" "1.16-1" 411 814 29 21433 7524
"2009-08-22" "1.16-2" 417 821 29 21863 7937
"2009-08-28" "1.16-3" 419 831 29 22060 7941
"2009-10-22" "1.17-0" 420 833 30 21881 8705
"2009-11-04" "1.17-1" 437 875 30 22900 10614
"2009-11-10" "1.17-2" 439 880 30 22943 10606
"2009-12-15" "1.17-3" 442 885 30 23193 10606
"2009-12-15" "1.17-4" 445 890 30 23640 10606
"2010-01-06" "1.17-5" 451 906 30 24283 12003
"2010-02-08" "1.17-6" 456 921 30 24795 12003
"2010-03-10" "1.18-0" 459 931 30 25073 12333
"2010-03-19" "1.18-1" 462 945 30 25464 12439
"2010-04-09" "1.18-2" 463 950 30 25631 12475
"2010-04-19" "1.18-3" 464 953 30 25720 12475
"2010-05-02" "1.18-4" 475 980 30 26093 13417
"2010-05-07" "1.18-5" 475 981 30 26117 13417
"2010-05-14" "1.19-0" 476 982 30 26205 13417
"2010-05-22" "1.19-1" 479 984 31 26286 13556
"2010-06-09" "1.19-2" 481 996 31 26653 13667
"2010-06-16" "1.19-3" 483 1003 31 26733 13667
"2010-07-15" "1.20-0" 483 1017 31 26926 14009
"2010-07-26" "1.20-1" 484 1020 31 27107 14263
"2010-08-10" "1.20-2" 489 1028 31 27728 14466
"2010-08-23" "1.20-3" 489 1033 31 27869 14564
"2010-10-21" "1.20-4" 493 1040 31 28237 14805
"2010-10-25" "1.20-5" 494 1043 31 28377 15160
"2010-11-05" "1.21-0" 504 1067 31 41301 15160
"2010-11-11" "1.21-1" 507 1075 31 41714 15554
"2011-01-17" "1.21-3" 515 1103 31 42975 15747
"2011-01-20" "1.21-4" 515 1103 31 42985 15747
"2011-02-10" "1.21-5" 515 1103 31 43037 15747
"2011-04-25" "1.21-6" 517 1107 31 43211 15747
"2011-04-28" "1.22-0" 526 1148 32 44006 15831
"2011-05-19" "1.22-1" 528 1154 32 44235 15820
"2011-06-13" "1.22-2" 537 1188 32 45006 16282
"2011-06-17" "1.22-3" 539 1197 32 45153 16269
"2011-07-07" "1.22-4" 550 1218 33 46696 16269
"2011-07-24" "1.23-0" 562 1244 34 47694 16496
"2011-08-01" "1.23-1" 564 1252 34 48014 16658
"2011-08-11" "1.23-2" 566 1260 34 48313 17035
"2011-08-12" "1.23-3" 566 1260 34 48319 17035
"2011-09-09" "1.23-4" 571 1269 34 48747 17243
"2011-09-23" "1.23-5" 575 1274 34 49128 17141
"2011-10-11" "1.23-6" 579 1286 34 49508 17141
"2011-10-22" "1.24-1" 585 1308 34 50154 17141
"2011-11-11" "1.24-2" 588 1312 34 50604 17839
"2011-12-06" "1.25-0" 602 1334 34 52015 18351
"2011-12-21" "1.25-1" 609 1339 35 52235 19088
"2012-01-19" "1.25-2" 610 1338 35 52774 19120
"2012-02-05" "1.25-3" 613 1345 35 53004 19120
"2012-02-29" "1.25-4" 614 1347 35 53302 19423
"2012-03-14" "1.25-5" 616 1351 35 53720 19506
"2012-04-08" "1.26-0" 616 1356 35 53816 19169
"2012-04-19" "1.26-1" 617 1358 35 54498 19261
"2012-05-16" "1.27-0" 630 1393 35 55787 19363
"2012-06-11" "1.28-0" 632 1417 35 56384 19363
"2012-08-23" "1.28-2" 640 1438 36 58566 19372
"2012-10-14" "1.29-0" 651 1470 36 59711 19457
"2012-12-23" "1.30-0" 666 1499 41 61344 19806
"2013-01-17" "1.31-0" 668 1507 41 61446 20094
"2013-03-01" "1.31-1" 678 1562 41 63783 20536
"2013-04-25" "1.31-2" 682 1581 41 64501 21117
"2013-05-27" "1.31-3" 685 1600 41 65545 21773
"2013-08-13" "1.32-0" 695 1625 41 67120 22151
"2013-09-05" "1.33-0" 701 1630 43 67397 22218
"2013-10-24" "1.34-0" 720 1666 43 69219 22867
"2013-11-03" "1.34-1" 720 1666 43 69180 23340
"2013-12-12" "1.35-0" 745 1717 47 72110 23491
"2014-02-18" "1.36-0" 757 1753 47 73946 24042
"2014-05-09" "1.37-0" 781 1841 47 77585 24633
"2014-08-15" "1.38-0" 803 1963 48 80709 25191
"2014-08-27" "1.38-1" 803 1965 48 80833 25191
"2014-10-23" "1.39-0" 824 2015 49 82274 25554
"2014-10-24" "1.39-1" 824 2015 49 81990 25554
"2014-12-31" "1.40-0" 839 2071 51 85832 25637
"2015-02-26" "1.41-0" 861 2135 53 88407 25650
"2015-02-27" "1.41-1" 861 2135 53 88407 25650
"2015-05-27" "1.42-0" 888 2222 53 91600 25650
"2015-06-05" "1.42-1" 888 2225 53 91658 36181
